Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Tankstelle - Bar - Distributore,cafe,"Via Castel Firmiano - Sigmundskroner Straße, 9, 39100, Bolzano - Bozen",46.491515,11.306930,,30
Mendelhof,restaurant,"Via Castel Firmiano, 22, 39100, Bolzano - Bozen",46.485495,11.299765,,14
Bike Cafe,cafe,Adresse unbekannt,46.485801,11.303641,,291
Bar Krone,cafe,"Via Castel Firmiano - Sigmundskroner Straße, 33, 39100, Bolzano - Bozen",46.485408,11.300090,,20
Drinking_water,drinking_water,Adresse unbekannt,46.508730,11.264524,,4
Zum Hirschen,restaurant,Adresse unbekannt,46.556185,11.219890,,148
Drinking_water,drinking_water,Adresse unbekannt,46.607935,11.181144,,105
km 23,cafe,39014,46.608459,11.182244,,27
Drinking_water,drinking_water,Adresse unbekannt,46.608355,11.182230,,20
Meraner Inn,restaurant,88,46.633285,11.177912,,212
All'Orsetto,restaurant,"Enrico-Fermi-Straße - Via Enrico Fermi, 10, 39012, Meran - Merano",46.636235,11.174199,,140
Flarer,bicycle,Adresse unbekannt,46.647322,11.176707,,24
DInuoVO,restaurant,"Romstraße - Via Roma, 113, 39012, Meran - Merano",46.659936,11.165630,,26
Gutes von Gestern,bakery,244,46.658102,11.166459,,6
Drinking_water,drinking_water,Adresse unbekannt,46.660153,11.165576,,23
Grub'n Brunnen,drinking_water,Adresse unbekannt,46.657438,11.167834,,36
Ressmair,restaurant,"Romstraße - Via Roma, 166, 39012, Meran - Merano",46.662032,11.163910,,7
La Bruschetta,restaurant,"Romstraße - Via Roma, 144, 39012, Meran - Merano",46.662529,11.163101,,87
Drinking_water,drinking_water,Adresse unbekannt,46.663766,11.167869,,91
Pizzeria HEINZ,restaurant,"Romstraße - Via Roma, 140",46.662594,11.162899,,111
Despar,supermarket,"via Roma, 63",46.663732,11.162089,,249
Drinking_water,drinking_water,Adresse unbekannt,46.661757,11.164392,,3
Drinking_water,drinking_water,Adresse unbekannt,46.661948,11.161335,,281
Bar Monopol,cafe,Adresse unbekannt,46.661590,11.162287,,187
Drinking_water,drinking_water,Adresse unbekannt,46.660995,11.162008,,246
Bar Cavour,cafe,Adresse unbekannt,46.668213,11.165886,,274
Drinking_water,drinking_water,Adresse unbekannt,46.666341,11.169830,,8
Drinking_water,drinking_water,Adresse unbekannt,46.671081,11.167677,,208
Caffè Wandelhalle,cafe,"Winterpromenade - Passeggiata D'Inverno, 25, 39012, Meran - Merano",46.669508,11.166948,,166
Biokiste,supermarket,Adresse unbekannt,46.669445,11.170871,,180
Cafe Knödelglück,cafe,Adresse unbekannt,46.672625,11.168753,,242
Drinking_water,drinking_water,Adresse unbekannt,46.673246,11.170783,,119
Felsenkeller,restaurant,Adresse unbekannt,46.672991,11.169017,,234
Henkerhaus,restaurant,Adresse unbekannt,46.670830,11.168239,,140
Drinking_water,drinking_water,Adresse unbekannt,46.669590,11.170891,,168
Drinking_water,drinking_water,Adresse unbekannt,46.670790,11.168473,,116
Drinking_water,drinking_water,Adresse unbekannt,46.669649,11.169270,,10
Drinking_water,drinking_water,Adresse unbekannt,46.669303,11.166785,,175
Mega Pizza,restaurant,Adresse unbekannt,46.669629,11.170164,,106
Drinking_water,drinking_water,Adresse unbekannt,46.671245,11.173315,,210
Drinking_water,drinking_water,Adresse unbekannt,46.702322,11.180392,,38
