Name,Typ,Adresse,Latitude,Longitude
Zum Hirschen,restaurant,Adresse unbekannt,46.5561848,11.2198895
Pizzeria Central,restaurant,Adresse unbekannt,46.5589254,11.2232502
Conad,supermarket,Adresse unbekannt,46.5587524,11.2231269
Drinking_water,drinking_water,Adresse unbekannt,46.6079353,11.1811441
km 23,cafe,39014,46.608459,11.1822442
Drinking_water,drinking_water,Adresse unbekannt,46.6083548,11.1822299
Etschgrund,restaurant,Adresse unbekannt,46.6096981,11.1853446
Restaurant Römerkeller,restaurant,"Bozner Straße - Via Bolzano, 67, 39011, Lana",46.6089487,11.1754296
Meraner Inn,restaurant,88,46.6332845,11.1779121
Drinking_water,drinking_water,Adresse unbekannt,46.6299138,11.1853078
MPREIS,supermarket,"Enrico-Fermi-Straße - Via Enrico Fermi, 30, 39012, Meran - Merano",46.6365591,11.1757467
All'Orsetto,restaurant,"Enrico-Fermi-Straße - Via Enrico Fermi, 10, 39012, Meran - Merano",46.6362348,11.1741994
TUO,restaurant,"Reichstraße - Via Nazionale, 72a",46.6353785,11.1763172
Schmidt,bakery,6,46.6453152,11.180251
Drinking_water,drinking_water,Adresse unbekannt,46.6453269,11.1808948
Flarer,bicycle,Adresse unbekannt,46.647322,11.1767075
Drinking_water,drinking_water,Adresse unbekannt,46.6452799,11.1791281
Hagen Brunnen,drinking_water,Adresse unbekannt,46.6571926,11.1760732
DInuoVO,restaurant,"Romstraße - Via Roma, 113, 39012, Meran - Merano",46.6599364,11.1656304
Gutes von Gestern,bakery,244,46.6581023,11.1664592
Drinking_water,drinking_water,Adresse unbekannt,46.6601525,11.1655761
Grub'n Brunnen,drinking_water,Adresse unbekannt,46.6574379,11.1678339
Drinking_water,drinking_water,Adresse unbekannt,46.6551914,11.1650648
Ressmair,restaurant,"Romstraße - Via Roma, 166, 39012, Meran - Merano",46.6620319,11.1639099
Lalessandra,restaurant,Adresse unbekannt,46.6607476,11.1587031
La Bruschetta,restaurant,"Romstraße - Via Roma, 144, 39012, Meran - Merano",46.662529,11.1631013
Poli,supermarket,"Piavestraße - Via Piave, 63, 39012, Meran - Merano",46.6621206,11.1604849
Drinking_water,drinking_water,Adresse unbekannt,46.663766,11.1678691
Treffpunkt,cafe,"Piavestraße - Via Piave, 61, 39012, Meran - Merano",46.6624162,11.1603864
Pizzeria HEINZ,restaurant,"Romstraße - Via Roma, 140",46.6625943,11.1628991
Despar,supermarket,"via Roma, 63",46.663732,11.1620893
Drinking_water,drinking_water,Adresse unbekannt,46.6617568,11.1643917
Drinking_water,drinking_water,Adresse unbekannt,46.6619483,11.1613352
Lucignolo Pizzeria,restaurant,Adresse unbekannt,46.6641602,11.1613824
Bar Cristina,cafe,Adresse unbekannt,46.6642511,11.1613362
Bar Monopol,cafe,Adresse unbekannt,46.6615896,11.162287
Drinking_water,drinking_water,Adresse unbekannt,46.6609953,11.1620076
Bar Cavour,cafe,Adresse unbekannt,46.6682132,11.1658858
Drinking_water,drinking_water,Adresse unbekannt,46.6663414,11.1698298
Drinking_water,drinking_water,Adresse unbekannt,46.6679704,11.1642572
Pizzeria Kirchsteiger,restaurant,"Dantestr. / Via Dante, 39012, Meran - Merano",46.6682388,11.1736621
Café Darling,cafe,"Winterpromenade - Passeggiata D'Inverno, 5, 39012, Meran - Merano",46.6697213,11.1648615
Hellweger's,restaurant,Adresse unbekannt,46.6712145,11.1652994
Partanes,restaurant,Adresse unbekannt,46.6712252,11.1660288
Drinking_water,drinking_water,Adresse unbekannt,46.6715293,11.1632625
Forsterbräu Meran,restaurant,"Freiheitsstraße - Corso della Libertà, 60, 39012",46.6707687,11.1628457
Café Ully,cafe,"Laubengasse - Via Portici, 50, 39012, Meran - Merano",46.6714382,11.1637575
Kolpinghaus Meran,restaurant,Adresse unbekannt,46.6689734,11.1731942
Drinking_water,drinking_water,Adresse unbekannt,46.6710812,11.1676773
Drinking_water,drinking_water,Adresse unbekannt,46.6690255,11.1654917
Drinking_water,drinking_water,Adresse unbekannt,46.67141,11.164601
Caffè Wandelhalle,cafe,"Winterpromenade - Passeggiata D'Inverno, 25, 39012, Meran - Merano",46.6695082,11.1669479
Biokiste,supermarket,Adresse unbekannt,46.6694451,11.1708708
Cafe Knödelglück,cafe,Adresse unbekannt,46.6726246,11.1687526
Drinking_water,drinking_water,Adresse unbekannt,46.669226,11.174163
Drinking_water,drinking_water,Adresse unbekannt,46.672416,11.1656451
Drinking_water,drinking_water,Adresse unbekannt,46.6732459,11.1707834
Gasthof Villa Gang,restaurant,Adresse unbekannt,46.6728472,11.1658451
Felsenkeller,restaurant,Adresse unbekannt,46.6729914,11.1690168
Despar,supermarket,Adresse unbekannt,46.6689967,11.1736643
Trattoria Flora,restaurant,"Laubengasse - Via Portici, 75, 39012, Meran - Merano",46.6713819,11.1636472
Henkerhaus,restaurant,Adresse unbekannt,46.6708302,11.1682389
Drinking_water,drinking_water,Adresse unbekannt,46.66959,11.170891
Café Bistro Lissi Royal,cafe,"Winterpromenade - Passeggiata D'inverno, 15, 39012, Meran - Merano",46.6695495,11.1654313
Drinking_water,drinking_water,Adresse unbekannt,46.6707904,11.1684733
