Name,Typ,Adresse,Latitude,Longitude
Osteria da Salvini,restaurant,"Via di Città, 122, 53100, Siena",43.317095,11.3306265
Ristorante Numero Unico,restaurant,"Via di Città, 125, 53100, Siena",43.3164745,11.3301552
Bar Pinacoteca,cafe,"Via San Pietro, 38, 53100, Siena",43.3155863,11.3303842
Sira e Remino - L'Osteria a Siena,restaurant,"Via San Pietro, 48, 53100, Siena",43.3154918,11.330438
Bar TERMINI,cafe,"Via dei Termini, 43, 53100, Siena",43.3201754,11.3306245
Ristorante I Maestri,restaurant,"Via Tito Sarrocchi, 2, 53100, Siena",43.3148751,11.3305034
Bar Osteria Enea,restaurant,"Via delle Cerchia, 2, 53100, Siena",43.3147205,11.33061
Bar Sant'Agata Coffee Break,cafe,"Via Sant'Agata, 36, 53100, Siena",43.3148135,11.330817
Osteria Pizzeria La Grotta Di S. Agostino,restaurant,"12, 53100, Siena",43.314634,11.3307052
Pizzeria Il Prato,restaurant,"13, 53100, Siena",43.3145921,11.3307638
Òsteria Il Cancellino,restaurant,"Via dei Fusari, 10;16, 53100, Siena",43.3181221,11.328666
Trattoria Dino,restaurant,"Casato di Sopra, 71, 53100, Siena",43.3151182,11.3307182
Casato Ristorante Wine Bar,restaurant,"Casato di Sotto, 18;26, 53100, Siena",43.3176223,11.3313339
Osteria Il Carroccio,restaurant,"Casato di Sotto, 32, 53100, Siena",43.3174966,11.3313776
Antica Trattoria L'Aquila,restaurant,"Casato di Sotto, 58, 53100, Siena",43.3169492,11.331261
Bar a Onda,cafe,"Via Giovanni Duprè, 53, 53100, Siena",43.3163933,11.3320034
Ristorante Shanghai,restaurant,"Via della Galluzza, 10, 53100, Siena",43.3192713,11.3296107
Grotta Santa Caterina da Bagoga,restaurant,"Via della Galluzza, 26, 53100, Siena",43.3193216,11.329567
Mensa dell'Università degli Studi di Siena,restaurant,"Via Sallustio Bandini, 53100, Siena",43.31932,11.3340308
SchiacciaMangia,restaurant,"Via delle Donzelle, 1, 53100, Siena",43.3193207,11.3322282
Restaurant,restaurant,"Via di Calzoleria, 16, 53100, Siena",43.3195296,11.3318276
53100 Street Food & Wine,cafe,"Via Camollia, 170, 53100, Siena",43.3267866,11.3260658
New York Cafe',cafe,"Via Giuseppe Garibaldi, 2, 53100, Siena",43.3238438,11.3280526
Tia Loca,restaurant,"Via Ricasoli, 55, 53100, Siena",43.3268621,11.3239171
Fonte Giusta,restaurant,"Via di Camollia, 102, 53100, Siena",43.3256491,11.3272368
Drinking_water,drinking_water,Adresse unbekannt,43.3235991,11.3326033
Funky Bar,cafe,"Via Vallerozzi, 91, 53100, Siena",43.3236974,11.3325753
Pizzeria Le Coccinelle,restaurant,"Via Simone Martini, 9, 53100, Siena",43.3240173,11.333335
Ristorante Pizzeria Il Muretto,restaurant,"Largo Sassetta, 16, 53100, Siena",43.3241934,11.3340049
Osteria Pizzeria La Piana,restaurant,"Via Camollia, 122, 53100, Siena",43.3260262,11.3267294
Drinking_water,drinking_water,Adresse unbekannt,43.3237633,11.3229451
Drinking_water,drinking_water,Adresse unbekannt,43.3274684,11.3258828
Drinking_water,drinking_water,Adresse unbekannt,43.323151,11.3256121
Prosciutteria Al Peccatore,restaurant,"Via Camollia, 132, 53100, Siena",43.3261522,11.3265746
MadinItaly,restaurant,"Via Camollia, 138, 53100, Siena",43.3262754,11.3264626
Drinking_water,drinking_water,Adresse unbekannt,43.3258617,11.3269173
Berta,restaurant,"Via Camollia, 206, 53100, Siena",43.3273513,11.3255074
Bar Caracas,cafe,"Via Camollia, 67, 53100, Siena",43.3247516,11.3275742
Ristorante Il Salotto,restaurant,"Via Camollia, 34, 53100, Siena",43.3243645,11.3278967
Osteria Kamollia,restaurant,"Via di Camollia, 102, 53100, Siena",43.325802,11.3270205
Nìu Pix Pokè Siena,restaurant,"Via Camollia, 71, 53100, Siena",43.3248778,11.3275184
Camulio Pinseria,restaurant,"Via Camollia, 92/94, 53100, Siena",43.3255349,11.3273556
Drinking_water,drinking_water,Adresse unbekannt,43.3242703,11.3287492
Caffetteria Mario Pasticceria,cafe,"Viale Giuseppe Mazzini, 53100, Siena",43.3272032,11.3296347
Napoletana 2.0,restaurant,"Viale Sardegna, 37, 53100, Siena",43.3276655,11.3301613
Drinking_water,drinking_water,Adresse unbekannt,43.3252736,11.3255645
Antico Bar La Lizza,cafe,"Via del Sasso di San Bernardino, 7, 53100, Siena",43.3229549,11.3281452
Selafino,restaurant,"Vicolo degli Umiliati, 1, 53100, Siena",43.3242548,11.32822
Sushibar,restaurant,"Via Domenico Beccafumi, 10, 53100, Siena",43.3251333,11.33258
