Latitude,Longitude,Street,City,Surface,Tracktype,Highway,Smoothness,OSM_Way_ID
42.875180,10.775234,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.874238,10.774738,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.873330,10.775010,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.873043,10.774959,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.872672,10.774425,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.872345,10.774303,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.871320,10.774935,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.871270,10.774631,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.871788,10.773007,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.871751,10.772524,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.870450,10.771037,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.869850,10.770740,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.869077,10.769929,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.868507,10.769667,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.868218,10.771196,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.867648,10.772221,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.867236,10.772238,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.866554,10.771987,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.865983,10.772426,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.865384,10.772523,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.864400,10.771600,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.862820,10.771000,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.862280,10.770290,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.860800,10.769090,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.860123,10.768862,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.859829,10.769140,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.859430,10.770530,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.859490,10.771710,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.859862,10.772566,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.859845,10.772880,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.858030,10.774300,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.857510,10.774906,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.857170,10.774820,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.856140,10.774970,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.855390,10.775380,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.854446,10.774867,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.853570,10.774880,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.851906,10.773210,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.850460,10.774460,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.849984,10.775509,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.850452,10.776746,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.850203,10.777249,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.850346,10.778172,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.850120,10.778839,antica strada dogana dei cavalleggeri,Scarlino,unknown,,,,
42.849953,10.780376,antica strada dogana dei cavalleggeri,Scarlino,unknown,,,,
42.849187,10.780774,antica strada dogana dei cavalleggeri,Scarlino,unknown,,,,
42.847994,10.780425,antica strada dogana dei cavalleggeri,Scarlino,unknown,,,,
42.847878,10.780525,antica strada dogana dei cavalleggeri,Scarlino,unknown,,,,
42.849028,10.782911,antica strada dogana dei cavalleggeri,Scarlino,unknown,,,,
42.848615,10.783166,antica strada dogana dei cavalleggeri,Scarlino,unknown,,,,
42.847834,10.784377,Strada Consorziale Val Molina - Torre Civette,Scarlino,unknown,,,,
42.846009,10.784156,Strada Consorziale Val Molina - Torre Civette,Scarlino,unknown,,,,
